Id,RelatedPostId,PostId,LinkTypeId,CreationDate
176659,10216,19903,1,2017-06-22T06:42:35.950
176869,14415,19922,1,2017-06-22T20:04:18.330
177326,15484,19836,3,2017-06-24T09:12:36.427
177817,115,19961,1,2017-06-26T05:08:39.530
178839,9950,18528,1,2017-06-28T10:38:49.420
178845,16858,20024,1,2017-06-28T11:01:06.213
178870,869,20026,1,2017-06-28T11:31:31.937
179164,19614,20054,1,2017-06-29T02:56:16.950
179367,2368,20064,1,2017-06-29T17:36:23.187
179452,20071,20036,1,2017-06-30T02:17:54.903
180477,20025,19382,1,2017-07-03T03:56:07.690
180593,20113,20129,1,2017-07-03T11:37:52.103
180980,9302,20136,1,2017-07-04T06:32:19.043
181348,12532,20179,1,2017-07-05T05:43:20.287
181384,16060,20178,1,2017-07-05T07:11:08.310
181668,20198,19991,1,2017-07-06T01:34:26.217
181812,19991,20198,1,2017-07-06T10:48:19.250
181824,5443,20208,1,2017-07-06T11:22:29.990
183744,20255,20198,1,2017-07-09T03:49:24.777
183934,14124,20274,1,2017-07-09T13:28:57.820
185524,15016,17921,1,2017-07-13T04:58:24.937
185534,20369,20388,1,2017-07-13T05:53:10.327
185786,16060,20404,1,2017-07-13T15:52:02.047
185856,11699,20408,1,2017-07-13T18:07:27.560
186960,19196,20413,1,2017-07-17T00:43:06.703
187353,19112,20507,1,2017-07-18T02:33:48.897
187624,9020,20525,1,2017-07-18T15:45:06.017
188228,20533,8129,1,2017-07-20T00:39:50.633
188278,20406,20555,1,2017-07-20T06:30:52.183
188302,20541,9222,1,2017-07-20T08:32:36.887
190334,8768,21618,1,2017-07-22T12:04:04.627
190999,17099,21643,1,2017-07-23T17:35:35.327
191707,12115,21676,1,2017-07-25T10:58:28.337
191802,16444,21682,1,2017-07-25T14:22:30.043
193011,5746,21776,1,2017-07-28T08:40:48.483
193041,16692,21780,1,2017-07-28T10:21:01.130
193147,937,21780,1,2017-07-28T17:08:11.770
195710,8460,21918,1,2017-08-02T22:39:05.523
195910,8460,21918,3,2017-08-03T11:11:22.300
196139,21947,21945,1,2017-08-04T01:26:14.313
196754,21945,21947,3,2017-08-05T09:22:25.320
196950,16601,21986,1,2017-08-05T19:31:15.920
197158,16601,21986,3,2017-08-06T09:06:56.923
197346,21947,21950,1,2017-08-06T18:18:57.963
199551,13490,22170,1,2017-08-11T08:27:57.187
201188,14568,22153,1,2017-08-14T13:16:03.390
201995,17314,22299,1,2017-08-16T08:07:44.947
201996,10802,22299,1,2017-08-16T08:07:44.947
201997,19025,22299,1,2017-08-16T08:07:44.947
202562,17024,22340,1,2017-08-17T13:23:01.120
202574,22340,17024,1,2017-08-17T13:25:07.370
202599,12721,22340,1,2017-08-17T14:26:54.067
202736,22335,22342,1,2017-08-17T18:37:30.417
202840,22324,22365,1,2017-08-18T03:12:56.377
202887,6715,22355,1,2017-08-18T07:17:13.683
203138,22378,22377,3,2017-08-18T18:32:14.863
203341,662,22403,1,2017-08-19T07:09:24.887
203342,19762,22403,1,2017-08-19T07:09:24.887
203839,22330,22404,1,2017-08-20T13:15:47.653
203914,22199,19760,1,2017-08-20T17:10:54.690
204058,22404,22330,1,2017-08-20T23:40:03.727
204230,22299,22441,1,2017-08-21T12:03:45.420
204236,10943,22446,1,2017-08-21T12:22:31.287
204606,13490,22467,1,2017-08-22T08:47:08.277
204739,16342,22478,1,2017-08-22T13:09:19.953
204960,2464,22479,1,2017-08-22T20:04:11.600
205210,22199,20222,1,2017-08-23T14:24:16.600
205275,18583,22522,1,2017-08-23T17:53:36.037
205310,20098,22528,1,2017-08-23T20:43:34.300
205405,424,22536,1,2017-08-24T05:53:34.230
206791,22335,22545,1,2017-08-27T07:05:04.067
208350,22324,22725,1,2017-08-31T05:59:20.240
208678,12797,22740,1,2017-09-01T08:00:36.600
208723,12797,22740,3,2017-09-01T09:24:51.690
209127,22725,22730,1,2017-09-02T07:25:15.477
210067,22828,22725,1,2017-09-05T06:22:22.127
210107,20198,22828,1,2017-09-05T08:16:49.913
210608,9443,22929,1,2017-09-10T14:55:12.073
210619,9443,22929,3,2017-09-10T21:14:54.440
210929,20499,22968,1,2017-09-13T07:56:55.153
211237,19980,22962,1,2017-09-14T09:10:46.987
211250,22909,23028,1,2017-09-14T13:59:56.407
211645,20165,9909,1,2017-09-17T19:12:27.647
211945,10972,23140,1,2017-09-19T13:52:19.653
212123,13200,23165,1,2017-09-20T10:55:50.403
212190,22536,22465,1,2017-09-20T16:54:36.587
212315,10085,23198,3,2017-09-21T08:36:48.187
219362,9663,23286,1,2017-09-25T18:14:23.933
220613,23349,23357,1,2017-09-27T17:52:13.143
221013,23212,23389,1,2017-09-28T13:12:21.403
222199,23392,23391,1,2017-09-30T15:58:19.303
